n_sources,avg_adaptive,std_adaptive,avg_random,std_random,avg_maxdeg,std_maxdeg,avg_fvs,std_fvs,adaptive_lower_bound,adaptive_upper_bound
4,0.48333333333333334,0.5624845676895401,0.65,0.8331666499966659,0.6166666666666667,0.8183655798127278,0.4666666666666667,0.5312459150169742,0.3866666666666667,0.48333333333333334
5,0.43333333333333335,0.5587684871413403,0.5333333333333333,0.7180219742846006,0.55,0.7399324293474372,0.4166666666666667,0.5257270098529168,0.3466666666666667,0.43333333333333335
6,0.6166666666666667,0.6605973727535471,0.85,1.061838029079765,0.7666666666666667,0.9012337223063851,0.6,0.6377042156569663,0.4933333333333334,0.6166666666666667
7,0.5666666666666667,0.6920179830675565,0.85,1.1376144631054348,0.7,0.862167810425171,0.5333333333333333,0.6446359868604572,0.45333333333333337,0.5666666666666667
8,0.5666666666666667,0.7386173268720112,0.7,0.9882644720249062,0.7166666666666667,0.9676718911329857,0.5333333333333333,0.669991708074726,0.45333333333333337,0.5666666666666667
9,0.7166666666666667,0.8384840818736845,1.0666666666666667,1.3148721948877347,1.0666666666666667,1.4243907079480997,0.65,0.7488880646220324,0.5733333333333334,0.7166666666666667
10,0.8333333333333334,0.6624868971450596,1.3,1.2288205727444506,1.1166666666666667,1.1268195162590244,0.8166666666666667,0.6452820227535312,0.6666666666666667,0.8333333333333334
11,0.7,0.7810249675906654,1.1666666666666667,1.4962917124975628,1.0,1.1547005383792515,0.6666666666666666,0.674948557710553,0.5599999999999999,0.7
12,0.7333333333333333,0.7930251502246879,1.35,1.5473094928509508,1.2,1.5790292376436015,0.7166666666666667,0.7547994582816169,0.5866666666666667,0.7333333333333333
13,0.6333333333333333,0.7295356209413096,1.1333333333333333,1.465908895153068,1.0833333333333333,1.3575918221452115,0.6166666666666667,0.7092640943651071,0.5066666666666667,0.6333333333333333
14,0.7833333333333333,0.7765665171481163,1.4166666666666667,1.552328000849763,1.1,1.2206555615733703,0.7333333333333333,0.7039570693980958,0.6266666666666667,0.7833333333333333
15,0.7833333333333333,0.8384840818736845,1.55,1.8923089952048884,1.2,1.6206994374857624,0.7666666666666667,0.8034647195462634,0.6266666666666667,0.7833333333333333
16,0.9833333333333333,0.9745369270695812,1.6333333333333333,1.7885437900395085,1.7166666666666666,1.6440971855567286,0.95,0.9023118455759442,0.7866666666666666,0.9833333333333333
17,1.1,1.0754843869934452,1.7,1.7058722109231979,1.6166666666666667,1.6030353153384433,0.9833333333333333,0.9218037872683221,0.8800000000000001,1.1
18,0.9833333333333333,0.8658650138573691,2.066666666666667,2.0401524997465805,1.85,1.7872231720371878,0.9333333333333333,0.8339997335464536,0.7866666666666666,0.9833333333333333
19,1.2166666666666666,1.0342737656066803,2.5,2.411776661854631,1.9833333333333334,1.7463453903000465,1.1333333333333333,0.9030811456096043,0.9733333333333333,1.2166666666666666
20,1.0666666666666667,0.9285592184789413,1.9,1.9382122346808843,1.5833333333333333,1.4639178786925022,1.0166666666666666,0.8658650138573694,0.8533333333333334,1.0666666666666667
21,1.2,1.0295630140987,2.1,1.9122412679017955,1.7833333333333334,1.8356803159107586,1.1166666666666667,0.896133670584671,0.96,1.2
22,1.3,1.1298967504452195,2.566666666666667,2.465540283363646,2.2,2.1740898478827098,1.1833333333333333,0.9914915811823899,1.04,1.3
23,1.1666666666666667,0.8787617550976046,2.3333333333333335,1.9972202905260323,2.033333333333333,1.8882678717691395,1.1,0.8306623862918074,0.9333333333333335,1.1666666666666667
24,1.2833333333333334,1.0660154261964923,2.4833333333333334,2.276632503403998,2.0166666666666666,1.8573427853312972,1.2166666666666666,1.0342737656066803,1.0266666666666668,1.2833333333333334
25,1.3166666666666667,1.024559525953579,2.8333333333333335,2.360555490180695,2.6666666666666665,2.263232692902394,1.2166666666666666,0.877338145883457,1.0533333333333335,1.3166666666666667
26,1.25,1.1198958284888227,2.5833333333333335,2.557939709132245,1.9666666666666666,2.0163222846448816,1.1166666666666667,0.9847447497814965,1.0,1.25
27,1.5833333333333333,1.4058409899020903,3.716666666666667,3.011597951623394,2.6333333333333333,2.1367160680716464,1.4,1.0832051206181281,1.2666666666666666,1.5833333333333333
28,1.8166666666666667,1.2713728363029033,3.7,2.5383721817994567,3.45,2.67348087705897,1.6666666666666667,1.0749676997731399,1.4533333333333334,1.8166666666666667
29,1.45,1.189187397623548,3.0,2.41522945769824,2.816666666666667,2.48657506533697,1.3166666666666667,1.0406995510499444,1.16,1.45
30,1.6166666666666667,1.415293452099442,3.683333333333333,3.0468107186951334,2.9,2.592939130279254,1.3833333333333333,1.1560228755906559,1.2933333333333334,1.6166666666666667
