n_sources,avg_adaptive,std_adaptive,avg_random,std_random,avg_maxdeg,std_maxdeg,avg_fvs,std_fvs,adaptive_lower_bound,adaptive_upper_bound
28,9.65,4.497499305169486,15.366666666666667,5.85367880529463,11.75,4.839507550705271,0.0,0.0,7.720000000000001,9.65
29,9.183333333333334,4.244571696754443,13.866666666666667,5.296120173191777,11.366666666666667,5.085819064374544,0.0,0.0,7.346666666666668,9.183333333333334
30,9.266666666666667,5.901600536201081,14.016666666666667,7.506645204232195,11.733333333333333,6.544378418833135,0.0,0.0,7.413333333333334,9.266666666666667
31,9.616666666666667,5.320061612007474,15.466666666666667,6.905231511124173,12.583333333333334,6.022988368649643,0.0,0.0,7.693333333333334,9.616666666666667
32,10.266666666666667,5.720916787446649,16.133333333333333,7.40825365536455,12.716666666666667,6.033494472986244,0.0,0.0,8.213333333333335,10.266666666666667
33,11.083333333333334,5.820342677960542,17.916666666666668,7.975570338365917,13.916666666666666,6.2270690448146535,0.0,0.0,8.866666666666667,11.083333333333334
34,11.5,6.328506932918696,17.666666666666668,8.299933065325822,14.4,7.243847964537448,0.0,0.0,9.200000000000001,11.5
35,11.466666666666667,6.045567706087567,17.683333333333334,7.887736613813173,15.1,6.187891401761993,0.0,0.0,9.173333333333334,11.466666666666667
36,12.083333333333334,6.398676078342735,18.85,7.630694594858322,15.35,6.835751604615252,0.0,0.0,9.666666666666668,12.083333333333334
37,14.066666666666666,6.4183763955969075,20.666666666666668,7.347713174103144,17.683333333333334,7.297240726618673,0.0,0.0,11.253333333333334,14.066666666666666
38,13.8,7.185169912163989,20.75,8.962189092701255,16.466666666666665,7.902460938776533,0.0,0.0,11.040000000000001,13.8
39,16.433333333333334,7.158600111443268,23.75,8.921182657024797,19.533333333333335,6.885895406957294,0.0,0.0,13.146666666666668,16.433333333333334
40,15.25,7.39284564066278,22.783333333333335,8.138574131190849,19.15,7.252183579217136,0.0,0.0,12.200000000000001,15.25
41,15.0,8.342661445845684,22.483333333333334,10.09041073935491,18.316666666666666,8.892865429970003,0.0,0.0,12.0,15.0
42,14.616666666666667,8.103685718376685,21.883333333333333,9.423537316504643,18.15,8.195171342524409,0.0,0.0,11.693333333333335,14.616666666666667
43,16.233333333333334,7.78110246401855,24.683333333333334,9.096687431269816,19.95,8.226836167891841,0.0,0.0,12.986666666666668,16.233333333333334
44,18.966666666666665,8.290489866239643,26.3,9.361801820874726,22.65,8.207364579043224,0.0,0.0,15.173333333333332,18.966666666666665
45,18.733333333333334,8.338398460669103,27.116666666666667,10.10790394801129,22.633333333333333,9.033210331265895,0.0,0.0,14.986666666666668,18.733333333333334
46,17.366666666666667,8.942346199714901,25.316666666666666,10.242870148981138,21.65,9.226456524581904,0.0,0.0,13.893333333333334,17.366666666666667
47,17.949152542372882,10.00918853923828,26.050847457627118,12.031630246997272,21.45762711864407,10.063058863559727,0.0,0.0,14.359322033898307,17.949152542372882
48,19.616666666666667,9.79301054607599,28.416666666666668,11.459045432418105,23.633333333333333,8.972117302448117,0.0,0.0,15.693333333333335,19.616666666666667
49,19.5,9.16606058602422,28.45,10.974857630056073,23.116666666666667,9.31681574120448,0.0,0.0,15.600000000000001,19.5
50,20.866666666666667,9.447163007426562,30.516666666666666,10.789642667340235,25.616666666666667,9.022364188811908,0.0,0.0,16.693333333333335,20.866666666666667
51,21.95,9.57327007871396,31.466666666666665,11.032477308182218,26.783333333333335,9.035285766863652,0.0,0.0,17.56,21.95
52,24.266666666666666,10.306739973866076,33.65,11.432154944133092,28.566666666666666,10.012270249826237,0.0,0.0,19.413333333333334,24.266666666666666
53,21.433333333333334,11.328969748196679,30.516666666666666,12.883441137970692,25.9,11.883742395951424,0.0,0.0,17.14666666666667,21.433333333333334
54,26.366666666666667,9.626295006676013,36.55,11.03090355924361,30.55,8.96925303467351,0.0,0.0,21.093333333333334,26.366666666666667
55,22.333333333333332,12.732722498437724,32.233333333333334,14.194325939927152,27.033333333333335,13.253888318359847,0.0,0.0,17.866666666666667,22.333333333333332
56,24.333333333333332,10.935670481908684,34.6,12.520915834448106,30.516666666666666,11.119789666276166,0.0,0.0,19.46666666666667,24.333333333333332
57,23.8,11.267652816802618,34.9,11.645743142167156,28.9,10.274077411946372,0.0,0.0,19.040000000000003,23.8
58,26.816666666666666,10.41551993688052,38.43333333333333,10.471177371984275,31.733333333333334,9.879046287752454,0.0,0.0,21.453333333333333,26.816666666666666
59,27.616666666666667,11.763066021332289,38.9,12.505598746161654,32.6,11.423951447142388,0.0,0.0,22.093333333333334,27.616666666666667
60,25.433333333333334,13.53066476152923,35.9,14.312814770920033,30.45,13.711825796248531,0.0,0.0,20.346666666666668,25.433333333333334
